geojson_id,highway_ref,segment_number,condition,start_lat,start_lon,end_lat,end_lon,highway_type,oneway,lanes,maxspeed,road_id,name,segment_start_km,segment_end_km,jurisdiction,category,length_km,lane_count,surface_type,year_constructed,last_major_rehab_year,status,state,district,taluka,region_type,terrain_type,slope_category,monsoon_rainfall_category,landslide_prone,flood_prone,ghat_section_flag,tourism_route_flag,elevation_m,avg_daily_traffic,truck_percentage,peak_hour_traffic,traffic_weight,seasonal_variation
way/22840770,NH48,1,very_bad,18.4715447,73.8120693,18.474109,73.80978,trunk,yes,2,80,MA-NH48-SEG-0001,NH48 Segment 1,78.3,95.1,State PWD,Inter-State,16.8,2,earthen,2012,,active,Maharashtra,Raigad,Mahad,coastal,hilly,moderate,high,False,True,False,False,475.5,5117,19.2,543,1.0,"{""M1"":0.81,""M2"":1.02,""M3"":0.95,""M4"":0.86,""M5"":0.93,""M6"":1.11,""M7"":1.1,""M8"":1.17,""M9"":0.81,""M10"":0.89,""M11"":0.95,""M12"":1.0}"
way/22840779,NH48,2,good,18.6647914,73.7285694,18.6775724,73.7238039,trunk,yes,3,80,MA-NH48-SEG-0006,NH48 Segment 6,58.7,78.7,NHAI,State,20.0,2,bitumen,2016,,active,Maharashtra,Kolhapur,Karveer,ghat,steep,steep,high,True,False,True,False,782.0,4508,42.7,315,0.5,"{""M1"":1.01,""M2"":1.11,""M3"":0.91,""M4"":0.9,""M5"":1.06,""M6"":0.98,""M7"":0.83,""M8"":1.04,""M9"":1.15,""M10"":0.94,""M11"":1.07,""M12"":1.19}"
way/22840781,NH48,3,good,18.6570939,73.7317072,18.6581176,73.7313325,trunk,yes,3,80,MA-NH48-SEG-0007,NH48 Segment 7,147.7,161.1,Municipality,Inter-State,13.4,4,bitumen,2020,2015.0,under_construction,Maharashtra,Pune,Mulshi,urban_corridor,plain,moderate,medium,False,False,False,True,130.4,20219,29.8,1254,2.0,"{""M1"":0.86,""M2"":1.0,""M3"":0.82,""M4"":1.03,""M5"":0.87,""M6"":0.9,""M7"":0.89,""M8"":0.94,""M9"":0.97,""M10"":1.15,""M11"":1.1,""M12"":1.06}"
way/22840782,NH48,4,very_bad,18.6625781,73.729507,18.6647914,73.7285694,trunk,yes,3,80,MA-NH48-SEG-0013,NH48 Segment 13,59.7,72.8,NHAI,Urban,13.1,4,concrete,2015,,under_construction,Maharashtra,Nagpur,Hingna,plain,plain,flat,medium,False,False,False,False,60.8,3176,26.0,304,0.5,"{""M1"":0.94,""M2"":0.81,""M3"":0.99,""M4"":0.89,""M5"":1.15,""M6"":0.86,""M7"":0.96,""M8"":0.99,""M9"":0.81,""M10"":1.05,""M11"":0.87,""M12"":0.9}"
way/22841924,NH48,5,average,18.4646847,73.8182143,18.4705922,73.8129304,trunk,yes,2,80,MA-NH48-SEG-0019,NH48 Segment 19,137.3,150.3,NHAI,National,13.0,6,concrete,2016,2009.0,active,Maharashtra,Kolhapur,Karveer,ghat,steep,steep,high,True,False,True,True,873.8,5051,17.4,461,1.0,"{""M1"":1.04,""M2"":0.96,""M3"":0.92,""M4"":1.1,""M5"":1.12,""M6"":1.14,""M7"":1.16,""M8"":0.87,""M9"":1.14,""M10"":0.84,""M11"":1.05,""M12"":0.81}"
way/22841979,NH48,6,good,18.8039303,73.321308,18.8023017,73.3226048,trunk,yes,N/A,N/A,MA-NH48-SEG-0023,NH48 Segment 23,153.8,165.8,Municipality,Inter-State,12.0,6,earthen,2021,,under_construction,Maharashtra,Dhule,Shirpur,plateau,plain,flat,low,False,False,False,False,327.3,6967,17.3,436,1.0,"{""M1"":0.82,""M2"":0.8,""M3"":1.12,""M4"":0.95,""M5"":1.13,""M6"":0.88,""M7"":0.93,""M8"":1.1,""M9"":0.86,""M10"":1.07,""M11"":0.94,""M12"":1.08}"
way/22841981,NH48,7,good,18.7607542,73.4653858,18.7560841,73.5226133,trunk,yes,2,N/A,MA-NH48-SEG-0027,NH48 Segment 27,117.5,133.1,Municipality,National,15.6,6,gravel,2000,2016.0,active,Maharashtra,Pune,Mulshi,urban_corridor,plain,moderate,medium,False,False,False,True,434.4,16356,17.7,1401,1.5,"{""M1"":0.83,""M2"":1.09,""M3"":1.05,""M4"":0.81,""M5"":0.99,""M6"":0.87,""M7"":1.15,""M8"":1.13,""M9"":0.81,""M10"":1.02,""M11"":0.95,""M12"":1.02}"
way/22841982,NH48,8,good,18.7592394,73.4307044,18.7602141,73.4396117,trunk,yes,2,N/A,MA-NH48-SEG-0031,NH48 Segment 31,98.9,107.0,NHAI,Urban,8.1,4,bitumen,2005,2018.0,active,Maharashtra,Pune,Bhor,urban_corridor,plain,moderate,medium,False,False,False,True,535.0,19250,30.1,1219,1.5,"{""M1"":0.94,""M2"":1.15,""M3"":1.01,""M4"":1.03,""M5"":0.84,""M6"":1.15,""M7"":1.08,""M8"":1.04,""M9"":0.85,""M10"":0.99,""M11"":1.09,""M12"":1.02}"
way/22841983,NH48,9,very_bad,18.7704441,73.3365984,18.7710354,73.3365497,trunk,yes,N/A,N/A,MA-NH48-SEG-0036,NH48 Segment 36,44.4,58.5,PMGSY,State,14.1,2,concrete,2002,,active,Maharashtra,Solapur,Barshi,plateau,plain,flat,low,False,False,False,False,596.6,2316,24.2,205,0.5,"{""M1"":1.0,""M2"":1.05,""M3"":1.18,""M4"":1.02,""M5"":1.14,""M6"":1.08,""M7"":1.14,""M8"":0.82,""M9"":0.86,""M10"":1.12,""M11"":1.01,""M12"":1.03}"
way/22841985,NH48,10,good,18.7660351,73.3513498,18.7654982,73.3518469,trunk,yes,N/A,N/A,MA-NH48-SEG-0050,NH48 Segment 50,26.4,45.7,PMGSY,National,19.3,4,bitumen,2009,,under_construction,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,False,False,False,False,142.7,4521,18.7,341,0.5,"{""M1"":0.8,""M2"":1.0,""M3"":1.04,""M4"":0.83,""M5"":1.04,""M6"":1.17,""M7"":0.85,""M8"":0.97,""M9"":1.19,""M10"":1.16,""M11"":0.82,""M12"":1.05}"
