road_id,last_lidar_survey_date,lidar_source,point_density_pts_per_m2,lidar_quality_score,pothole_count,pothole_total_volume_m3,avg_pothole_depth_mm,max_pothole_depth_mm,pothole_areas_m2,avg_rut_depth_mm,max_rut_depth_mm,roughness_proxy,damaged_area_percent,scan_id,las_filename,potree_url
MA-NH48-SEG-0001,2025-06-16,mobile,186.9,43,36,2.4927,131.2,235,"[0.198, 0.993, 0.207, 0.422, 0.205, 0.428, 0.441, 1.136, 0.055, 0.292, 0.897, 0.856, 1.115, 0.549, 0.413, 0.053, 0.155, 1.131, 0.747, 0.378, 0.393, 0.103, 0.594, 0.475, 0.396, 0.823, 0.167, 0.665, 0.582, 0.601, 0.762, 1.097, 0.329, 0.402, 0.906, 0.236]",6.4,8.3,1.64,0.0114,bb5962e2-d0ec-49f9-8a11-3c0a196aa59b,bb5962e2-d0ec-49f9-8a11-3c0a196aa59b.laz,https://potree.example.com/viewer/bb5962e2-d0ec-49f9-8a11-3c0a196aa59b
MA-NH65-SEG-0002,2025-12-30,mobile,120.5,40,124,10.02,125,248,"[0.727, 0.756, 0.38, 1.176, 1.123, 0.217, 1.199, 1.097, 0.701, 0.501, 0.569, 1.138, 0.872, 0.813, 0.246, 0.678, 0.442, 0.779, 1.035, 0.351, 0.87, 0.324, 0.517, 0.79, 0.615, 0.629, 0.911, 0.724, 1.161, 0.423, 0.216, 1.183, 0.358, 0.178, 0.457, 0.135, 0.902, 0.876, 0.272, 0.461, 0.167, 0.693, 0.909, 0.603, 0.706, 0.71, 1.147, 0.693, 0.068, 0.682, 0.141, 0.817, 0.663, 0.97, 0.337, 0.335, 1.167, 0.127, 0.8, 1.006, 0.544, 0.977, 0.115, 0.877, 0.444, 0.87, 1.043, 0.521, 0.437, 1.14, 0.315, 0.09, 0.862, 0.512, 0.284, 0.314, 1.091, 0.352, 1.152, 0.632, 0.494, 0.294, 0.479, 0.907, 0.689, 0.586, 0.64, 1.065, 0.273, 0.232, 0.867, 0.246, 0.372, 1.16, 0.27, 1.068, 1.102, 0.842, 0.78, 0.889, 0.166, 0.437, 0.62, 0.954, 1.001, 0.988, 0.534, 0.658, 0.221, 1.002, 0.414, 0.521, 1.021, 0.705, 0.853, 0.405, 0.933, 0.758, 1.077, 0.788, 0.405, 0.874, 0.769, 0.305]",8.7,14.3,3.61,0.0444,294b1bc4-c714-48a1-8881-58defc74c5d2,294b1bc4-c714-48a1-8881-58defc74c5d2.laz,https://potree.example.com/viewer/294b1bc4-c714-48a1-8881-58defc74c5d2
MA-SH50-SEG-0003,2025-05-06,phone,17.7,40,8,0.8149,156.8,235,"[1.021, 0.606, 1.011, 0.747, 0.091, 0.757, 0.411, 0.188]",4.5,7.5,2.09,0.0034,c3ee33c1-694c-44e3-ba74-4d25fc5b53e2,c3ee33c1-694c-44e3-ba74-4d25fc5b53e2.laz,https://potree.example.com/viewer/c3ee33c1-694c-44e3-ba74-4d25fc5b53e2
MA-NH160-SEG-0004,2026-02-07,phone,8.3,40,4,0.1853,156.5,208,"[0.43, 0.063, 0.422, 0.167]",4.5,6.7,2.37,0.001,3505f805-0656-424b-a7a4-c45c7d38e563,3505f805-0656-424b-a7a4-c45c7d38e563.laz,https://potree.example.com/viewer/3505f805-0656-424b-a7a4-c45c7d38e563
MA-NH65-SEG-0005,2025-10-09,mobile,88.1,40,85,6.9137,134.2,249,"[0.378, 0.315, 0.964, 1.083, 0.767, 0.341, 0.885, 0.69, 0.489, 1.103, 0.359, 1.189, 0.722, 1.038, 0.11, 0.65, 0.677, 0.337, 0.476, 1.038, 0.141, 0.376, 0.624, 0.436, 0.125, 0.219, 1.012, 0.247, 0.892, 1.002, 1.119, 0.577, 0.662, 0.239, 0.343, 0.335, 0.241, 0.173, 0.587, 0.365, 0.464, 1.152, 0.978, 1.006, 0.159, 0.388, 1.158, 0.384, 0.337, 0.587, 0.939, 0.362, 0.381, 0.399, 0.882, 0.052, 0.862, 0.738, 1.088, 0.301, 0.506, 0.838, 1.063, 1.192, 0.088, 1.175, 0.989, 0.305, 0.452, 0.159, 0.213, 0.777, 0.409, 1.018, 0.632, 0.845, 0.238, 0.65, 1.011, 0.142, 1.154, 1.149, 0.267, 0.996, 1.109]",3.6,4.8,1.74,0.0351,f2877446-a585-4821-a5e7-063036104301,f2877446-a585-4821-a5e7-063036104301.laz,https://potree.example.com/viewer/f2877446-a585-4821-a5e7-063036104301
MA-NH48-SEG-0006,2025-10-04,mobile,144.1,40,51,3.9851,132.6,249,"[0.381, 0.591, 0.68, 0.421, 0.326, 0.734, 0.293, 0.337, 0.664, 0.263, 0.444, 0.396, 0.837, 0.878, 0.504, 1.022, 0.854, 0.798, 0.368, 0.223, 1.069, 1.088, 0.854, 0.22, 0.868, 0.719, 0.333, 0.707, 0.172, 0.45, 1.096, 1.199, 0.463, 0.404, 0.448, 0.866, 0.169, 0.537, 0.126, 0.559, 0.857, 0.702, 0.106, 0.074, 0.205, 0.718, 0.481, 0.419, 0.899, 0.316, 1.157]",15.1,21,3.73,0.0146,8077f138-3bf7-4481-a555-00db3ec95a72,8077f138-3bf7-4481-a555-00db3ec95a72.laz,https://potree.example.com/viewer/8077f138-3bf7-4481-a555-00db3ec95a72
MA-NH48-SEG-0007,2025-07-13,mobile,164.8,40,39,3.6234,137.5,249,"[0.857, 0.85, 0.094, 0.64, 1.104, 1.115, 0.851, 0.907, 0.821, 0.138, 0.221, 0.144, 0.588, 0.777, 0.535, 0.618, 0.235, 1.0, 0.09, 1.159, 0.054, 1.146, 0.759, 0.927, 0.585, 0.999, 0.957, 0.203, 0.476, 0.518, 1.012, 0.72, 0.132, 0.363, 0.579, 0.236, 0.227, 0.908, 0.664]",5.6,9.6,2.31,0.0181,5238a22d-c304-4da5-a511-147b4d9e2952,5238a22d-c304-4da5-a511-147b4d9e2952.laz,https://potree.example.com/viewer/5238a22d-c304-4da5-a511-147b4d9e2952
MA-NH160-SEG-0008,2025-03-01,mobile,181.9,48,42,3.7471,144.4,250,"[1.035, 0.143, 0.376, 0.306, 0.254, 0.154, 0.427, 1.047, 0.468, 0.899, 0.718, 0.89, 0.111, 1.149, 1.008, 1.058, 0.225, 0.961, 0.589, 0.636, 0.93, 0.215, 0.291, 0.952, 0.708, 0.785, 1.184, 0.829, 0.767, 0.375, 1.155, 0.874, 1.04, 0.324, 0.229, 0.124, 0.307, 0.3, 0.415, 0.943, 1.003, 1.062]",9,12.2,2.91,0.0333,bc6d7408-1878-4e5c-9194-61f09637bec9,bc6d7408-1878-4e5c-9194-61f09637bec9.laz,https://potree.example.com/viewer/bc6d7408-1878-4e5c-9194-61f09637bec9
MA-NH60-SEG-0009,2025-04-22,mobile,164.6,40,171,14.2245,126.7,250,"[1.176, 1.021, 1.099, 1.146, 0.815, 0.857, 0.24, 1.18, 0.842, 1.17, 0.683, 0.84, 0.798, 0.517, 0.269, 1.161, 0.981, 1.004, 0.746, 1.114, 0.224, 1.108, 0.407, 0.725, 0.502, 0.321, 0.759, 0.6, 1.098, 1.02, 1.063, 0.754, 0.463, 0.371, 0.137, 0.203, 0.544, 0.319, 0.466, 0.215, 0.321, 0.951, 0.534, 0.947, 0.875, 1.016, 0.195, 0.43, 0.535, 0.537, 0.803, 1.185, 0.182, 0.15, 0.344, 0.778, 0.937, 0.967, 0.837, 0.393, 1.187, 0.911, 1.049, 0.86, 1.106, 1.162, 0.351, 0.489, 0.124, 0.548, 1.181, 1.097, 0.667, 0.737, 0.06, 0.52, 0.583, 0.176, 0.331, 0.775, 1.2, 0.324, 0.974, 0.054, 0.175, 0.138, 0.145, 0.055, 0.206, 0.39, 0.608, 0.962, 0.551, 1.155, 0.747, 0.918, 0.064, 0.51, 0.199, 0.672, 1.115, 0.902, 0.225, 0.779, 0.745, 0.711, 0.478, 0.887, 0.263, 0.856, 0.265, 1.188, 0.578, 0.316, 1.051, 0.662, 0.811, 1.027, 0.476, 0.311, 0.215, 0.305, 0.325, 0.515, 0.082, 1.005, 1.1, 0.601, 0.181, 0.846, 0.943, 1.001, 0.613, 0.501, 0.485, 0.538, 0.825, 1.013, 0.751, 0.075, 0.669, 0.751, 0.546, 0.149, 0.513, 0.23, 1.196, 1.148, 0.136, 1.048, 0.845, 0.533, 1.138, 0.623, 0.106, 0.729, 0.558, 0.762, 0.858, 0.062, 0.834, 0.533, 0.975, 0.464, 1.108, 1.18, 0.893, 0.165, 0.945, 0.924, 0.893]",9.9,13.3,3.14,0.0614,473487a8-feff-4da0-b4f8-1ed3b3e9958a,473487a8-feff-4da0-b4f8-1ed3b3e9958a.laz,https://potree.example.com/viewer/473487a8-feff-4da0-b4f8-1ed3b3e9958a
MA-NH60-SEG-0010,2025-05-04,drone,492,100,55,4.9676,135.1,243,"[0.573, 0.662, 0.437, 0.991, 0.881, 0.952, 0.325, 1.007, 0.919, 0.996, 0.334, 0.122, 0.684, 0.447, 0.804, 0.795, 0.867, 0.794, 0.199, 0.949, 0.368, 0.644, 0.931, 0.523, 0.527, 0.532, 0.234, 0.367, 0.164, 0.669, 0.895, 1.142, 0.187, 0.992, 0.335, 0.687, 0.288, 0.732, 0.824, 0.153, 0.665, 0.976, 0.472, 0.124, 0.851, 1.191, 0.99, 0.358, 0.931, 0.353, 1.121, 0.91, 1.156, 0.444, 0.13]",7.1,12.2,2.37,0.0246,c69db9e0-d828-4289-912c-48fa129980e9,c69db9e0-d828-4289-912c-48fa129980e9.laz,https://potree.example.com/viewer/c69db9e0-d828-4289-912c-48fa129980e9
