road_id,name,nh_number,segment_start_km,segment_end_km,jurisdiction,category,length_km,lane_count,surface_type,year_constructed,last_major_rehab_year,status,geometry,notes,state,district,taluka,region_type,terrain_type,slope_category,monsoon_rainfall_category,landslide_prone,flood_prone,ghat_section_flag,tourism_route_flag,elevation_m,avg_daily_traffic,truck_percentage,peak_hour_traffic,traffic_weight,seasonal_variation
MA-NH48-SEG-0001,NH48 Segment 1,NH48,78.3,95.1,State PWD,Inter-State,16.8,2,earthen,2012,,active,LINESTRING(...),,Maharashtra,Raigad,Mahad,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,FALSE,475.5,5117,19.2,543,1,"{""M1"":0.81,""M2"":1.02,""M3"":0.95,""M4"":0.86,""M5"":0.93,""M6"":1.11,""M7"":1.1,""M8"":1.17,""M9"":0.81,""M10"":0.89,""M11"":0.95,""M12"":1.0}"
MA-NH65-SEG-0002,NH65 Segment 2,NH65,175.2,193.6,NHAI,State,18.4,4,gravel,2012,2023,under_construction,LINESTRING(...),,Maharashtra,Pune,Bhor,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,TRUE,71.9,28214,36.7,1878,2,"{""M1"":1.17,""M2"":0.86,""M3"":1.06,""M4"":0.83,""M5"":1.03,""M6"":0.85,""M7"":1.0,""M8"":0.82,""M9"":0.87,""M10"":1.04,""M11"":1.17,""M12"":0.91}"
MA-SH50-SEG-0003,SH50 Segment 3,SH50,43.9,58.3,PMGSY,Inter-State,14.4,4,earthen,2003,2021,active,LINESTRING(...),,Maharashtra,Nagpur,Kamptee,plain,plain,flat,medium,FALSE,FALSE,FALSE,FALSE,78.5,6714,18.4,713,1,"{""M1"":0.91,""M2"":1.2,""M3"":0.89,""M4"":0.8,""M5"":0.95,""M6"":1.03,""M7"":1.04,""M8"":0.91,""M9"":1.04,""M10"":1.05,""M11"":0.95,""M12"":1.11}"
MA-NH160-SEG-0004,NH160 Segment 4,NH160,108.5,119.8,Municipality,State,11.3,2,bitumen,2000,,active,LINESTRING(...),,Maharashtra,Solapur,Barshi,plateau,plain,flat,low,FALSE,FALSE,FALSE,TRUE,17,2630,15.1,168,0.5,"{""M1"":0.94,""M2"":0.92,""M3"":0.85,""M4"":1.2,""M5"":0.86,""M6"":1.13,""M7"":0.86,""M8"":0.88,""M9"":1.13,""M10"":0.91,""M11"":1.0,""M12"":1.01}"
MA-NH65-SEG-0005,NH65 Segment 5,NH65,101.8,117,State PWD,Urban,15.2,2,bitumen,2013,,under_construction,LINESTRING(...),,Maharashtra,Raigad,Shrivardhan,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,FALSE,125.5,12921,15.9,1528,1.5,"{""M1"":0.89,""M2"":0.89,""M3"":0.84,""M4"":0.87,""M5"":1.12,""M6"":1.11,""M7"":0.82,""M8"":0.92,""M9"":1.19,""M10"":0.98,""M11"":0.96,""M12"":1.16}"
MA-NH48-SEG-0006,NH48 Segment 6,NH48,58.7,78.7,NHAI,State,20,2,bitumen,2016,,active,LINESTRING(...),,Maharashtra,Kolhapur,Karveer,ghat,steep,steep,high,TRUE,FALSE,TRUE,FALSE,782,4508,42.7,315,0.5,"{""M1"":1.01,""M2"":1.11,""M3"":0.91,""M4"":0.9,""M5"":1.06,""M6"":0.98,""M7"":0.83,""M8"":1.04,""M9"":1.15,""M10"":0.94,""M11"":1.07,""M12"":1.19}"
MA-NH48-SEG-0007,NH48 Segment 7,NH48,147.7,161.1,Municipality,Inter-State,13.4,4,bitumen,2020,2015,under_construction,LINESTRING(...),,Maharashtra,Pune,Mulshi,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,TRUE,130.4,20219,29.8,1254,2,"{""M1"":0.86,""M2"":1.0,""M3"":0.82,""M4"":1.03,""M5"":0.87,""M6"":0.9,""M7"":0.89,""M8"":0.94,""M9"":0.97,""M10"":1.15,""M11"":1.1,""M12"":1.06}"
MA-NH160-SEG-0008,NH160 Segment 8,NH160,96.9,105.1,Municipality,National,8.2,6,gravel,2012,,under_construction,LINESTRING(...),,Maharashtra,Pune,Bhor,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,FALSE,378.6,19300,19,1323,1.5,"{""M1"":1.13,""M2"":0.98,""M3"":0.92,""M4"":1.08,""M5"":1.14,""M6"":1.01,""M7"":0.93,""M8"":0.82,""M9"":0.87,""M10"":0.85,""M11"":1.18,""M12"":0.84}"
MA-NH60-SEG-0009,NH60 Segment 9,NH60,41.8,60.2,Municipality,Inter-State,18.4,6,earthen,2021,,under_construction,LINESTRING(...),,Maharashtra,Pune,Mulshi,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,FALSE,30.9,20342,12,2338,2,"{""M1"":1.01,""M2"":1.18,""M3"":0.89,""M4"":1.02,""M5"":1.19,""M6"":0.87,""M7"":1.07,""M8"":1.09,""M9"":0.99,""M10"":0.8,""M11"":0.9,""M12"":1.0}"
MA-NH60-SEG-0010,NH60 Segment 10,NH60,44.4,58.9,Municipality,Inter-State,14.5,6,earthen,1999,2013,active,LINESTRING(...),,Maharashtra,Kolhapur,Karveer,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,933,6283,41.4,395,1,"{""M1"":1.07,""M2"":1.17,""M3"":1.14,""M4"":1.11,""M5"":1.0,""M6"":0.97,""M7"":0.9,""M8"":0.94,""M9"":1.04,""M10"":0.98,""M11"":0.96,""M12"":0.98}"
