road_id,name,geojson_id,highway_ref,segment_number,segment_start_km,segment_end_km,length_km,district,taluka,PDI,Pseudo_CIBIL,ML_Predicted_CIBIL,Final_CIBIL,Condition_Category
MA-NH53-SEG-0415,NH53 Segment 415,way/873993041,NH53,415,79.3,93.9,14.6,Solapur,Madha,4.64,95.36,93.71,94.86,Good
MA-NH60-SEG-0528,NH60 Segment 528,way/1030328546,NH60,528,158.4,167.0,8.6,Solapur,Karmala,6.09,93.91,93.67,93.84,Good
MA-NH66-SEG-0512,NH66 Segment 512,way/1353326662,NH66,512,193.4,198.9,5.5,Solapur,Sangola,6.1,93.9,93.46,93.77,Good
MA-NH53-SEG-0544,NH53 Segment 544,way/885782724,NH53,544,106.0,127.3,21.3,Pune,Ambegaon,6.33,93.67,93.37,93.58,Good
MA-NH66-SEG-0307,NH66 Segment 307,way/1192749921,NH66,307,71.3,96.2,24.9,Dhule,Shirpur,6.3,93.7,93.13,93.53,Good
MA-NH53-SEG-0001,NH53 Segment 1,way/22830633,NH53,1,48.1,65.4,17.3,Raigad,Poladpur,6.61,93.39,93.45,93.41,Good
MA-NH166-SEG-0110,NH166 Segment 110,way/695634279,NH166,110,47.3,61.5,14.2,Solapur,Madha,6.49,93.51,92.95,93.34,Good
MA-NH753A-SEG-0079,NH753A Segment 79,way/499279929,NH753A,79,104.2,123.9,19.7,Dhule,Dhule,6.68,93.32,93.06,93.24,Good
MA-NH60-SEG-0124,NH60 Segment 124,way/216957620,NH60,124,106.8,115.5,8.7,Solapur,Sangola,6.79,93.21,93.14,93.19,Good
MA-NH66-SEG-0173,NH66 Segment 173,way/941384539,NH66,173,170.8,191.0,20.2,Dhule,Sindkhede,6.79,93.21,93.01,93.15,Good
MA-NH166-SEG-0457,NH166 Segment 457,way/1257423204,NH166,457,59.6,79.2,19.6,Dhule,Sakri,6.96,93.04,93.17,93.08,Good
MA-NH161A-SEG-0117,NH161A Segment 117,way/567512144,NH161A,117,132.0,138.1,6.1,Dhule,Dhule,6.88,93.12,92.93,93.06,Good
MA-NH60-SEG-0116,NH60 Segment 116,way/215355173,NH60,116,16.6,33.4,16.8,Pune,Shirur,6.95,93.05,92.91,93.01,Good
MA-NH48-SEG-1275,NH48 Segment 1275,way/1328096647,NH48,1275,115.3,129.7,14.4,Solapur,Pandharpur,7.07,92.93,92.7,92.86,Good
MA-NH60-SEG-0705,NH60 Segment 705,way/1225648825,NH60,705,178.5,187.2,8.7,Solapur,Solapur North,7.18,92.82,92.91,92.85,Good
MA-NH48-SEG-0519,NH48 Segment 519,way/344092401,NH48,519,143.7,168.6,24.9,Solapur,Malshiras,7.22,92.78,92.99,92.84,Good
MA-NH50-SEG-0039,NH50 Segment 39,way/860001697,NH50,39,106.4,118.0,11.6,Solapur,Madha,7.17,92.83,92.82,92.83,Good
MA-NH353E-SEG-0011,NH353E Segment 11,way/296661358,NH353E,11,81.0,89.1,8.1,Dhule,Sindkhede,7.38,92.62,92.94,92.72,Good
MA-NH48-SEG-0909,NH48 Segment 909,way/1080115013,NH48,909,143.0,161.9,18.9,Satara,Wai,7.19,92.81,92.05,92.58,Good
MA-NH848-SEG-0033,NH848 Segment 33,way/230311000,NH848,33,6.9,18.0,11.1,Solapur,Sangola,7.61,92.39,92.73,92.49,Good
MA-NH44-SEG-0152,NH44 Segment 152,way/214624667,NH44,152,137.4,147.0,9.6,Dhule,Sakri,7.41,92.59,92.11,92.45,Good
MA-NH753F-SEG-0179,NH753F Segment 179,way/222120982,NH753F,179,1.1,15.9,14.8,Dhule,Dhule,7.58,92.42,92.52,92.45,Good
MA-NH160-SEG-0299,NH160 Segment 299,way/1285540592,NH160,299,14.0,33.7,19.7,Satara,Wai,7.58,92.42,92.5,92.44,Good
MA-NH44-SEG-0080,NH44 Segment 80,way/182450943,NH44,80,24.1,48.2,24.1,Solapur,Sangola,7.39,92.61,92.06,92.44,Good
MA-NH48-SEG-1062,NH48 Segment 1062,way/1239917936,NH48,1062,49.8,62.7,12.9,Dhule,Dhule,7.72,92.28,92.63,92.38,Good
MA-NH160-SEG-0325,NH160 Segment 325,way/1285601512,NH160,325,69.9,76.6,6.7,Dhule,Shirpur,7.66,92.34,92.43,92.37,Good
MA-NH753A-SEG-0075,NH753A Segment 75,way/496016159,NH753A,75,119.0,136.1,17.1,Solapur,Malshiras,7.49,92.51,92.05,92.37,Good
MA-NH60-SEG-0187,NH60 Segment 187,way/125858140,NH60,40,151.7,160.4,8.7,Dhule,Sindkhede,7.74,92.26,92.49,92.33,Good
MA-NH48-SEG-1267,NH48 Segment 1267,way/1328078467,NH48,1267,120.8,131.1,10.3,Solapur,Mangalwedha,7.66,92.34,91.71,92.15,Good
MA-NH52-SEG-0797,NH52 Segment 797,way/1320699038,NH52,797,57.9,67.3,9.4,Solapur,Mohol,7.79,92.21,91.97,92.14,Good
MA-NH361-SEG-0236,NH361 Segment 236,way/859666596,NH361,236,146.1,156.9,10.8,Dhule,Sakri,7.85,92.15,91.92,92.08,Good
MA-NH53-SEG-0278,NH53 Segment 278,way/320444544,NH53,278,2.6,17.5,14.9,Dhule,Shirpur,7.96,92.04,91.96,92.02,Good
MA-NH60-SEG-0752,NH60 Segment 752,way/1289101215,NH60,752,37.7,56.7,19.0,Solapur,Barshi,8.16,91.84,92.34,91.99,Good
MA-NH48-SEG-1197,NH48 Segment 1197,way/1309580321,NH48,1197,25.6,33.8,8.2,Dhule,Sakri,8.04,91.96,91.93,91.95,Good
MA-NH48-SEG-0669,NH48 Segment 669,way/628049507,NH48,669,87.8,97.6,9.8,Solapur,Pandharpur,8.09,91.91,91.84,91.89,Good
MA-NH353D-SEG-0071,NH353D Segment 71,way/1353063603,NH353D,71,131.8,138.3,6.5,Solapur,Karmala,7.97,92.03,91.5,91.87,Good
MA-NH753J-SEG-0086,NH753J Segment 86,way/1352280784,NH753J,86,188.7,198.7,10.0,Nashik,Kalwan,8.16,91.84,91.79,91.82,Good
MA-NH66-SEG-0592,NH66 Segment 592,way/1359563330,NH66,592,87.4,109.2,21.8,Nagpur,Hingna,8.12,91.88,91.61,91.8,Good
MA-NH753M-SEG-0022,NH753M Segment 22,way/841243501,NH753M,22,23.5,30.9,7.4,Solapur,Karmala,8.13,91.87,91.65,91.8,Good
MA-NH60-SEG-0806,NH60 Segment 806,way/1355609460,NH60,806,12.0,21.6,9.6,Kolhapur,Ajra,8.22,91.78,91.86,91.8,Good
MA-NH48-SEG-0702,NH48 Segment 702,way/750027688,NH48,702,165.5,175.3,9.8,Dhule,Shirpur,8.29,91.71,91.84,91.75,Good
MA-NH752K-SEG-0039,NH752K Segment 39,way/304117650,NH752K,39,43.7,60.6,16.9,Pune,Bhor,8.44,91.56,92.1,91.72,Good
MA-NH60-SEG-0812,NH60 Segment 812,way/1361248472,NH60,812,109.5,128.4,18.9,Dhule,Sindkhede,8.15,91.85,91.36,91.7,Good
MA-NH53-SEG-1233,NH53 Segment 1233,way/1355148180,NH53,1233,50.2,74.3,24.1,Dhule,Sakri,8.3,91.7,91.51,91.64,Good
MA-NH752H-SEG-0054,NH752H Segment 54,way/847950721,NH752H,54,108.0,126.8,18.8,Solapur,Solapur South,8.26,91.74,91.4,91.64,Good
MA-NH66-SEG-0221,NH66 Segment 221,way/966025855,NH66,221,124.5,134.1,9.6,Nagpur,Parseoni,8.42,91.58,91.61,91.59,Good
MA-NH61-SEG-0304,NH61 Segment 304,way/1350849036,NH61,304,116.5,126.6,10.1,Dhule,Dhule,8.38,91.62,91.49,91.58,Good
MA-NH53-SEG-1314,NH53 Segment 1314,way/1359908258,NH53,1314,152.2,165.8,13.6,Solapur,Barshi,8.66,91.34,92.09,91.56,Good
MA-NH753A-SEG-0161,NH753A Segment 161,way/1456659955,NH753A,161,160.6,174.0,13.4,Solapur,Sangola,8.44,91.56,91.33,91.49,Good
MA-NH848-SEG-0023,NH848 Segment 23,way/151527433,NH848,23,161.8,169.9,8.1,Nashik,Trimbak,8.47,91.53,91.39,91.49,Good
MA-NH60-SEG-0493,NH60 Segment 493,way/889124559,NH60,493,156.5,175.9,19.4,Dhule,Sakri,8.5,91.5,91.37,91.46,Good
MA-NH166-SEG-0124,NH166 Segment 124,way/836685285,NH166,124,64.8,70.7,5.9,Solapur,Barshi,8.6,91.4,91.56,91.45,Good
MA-NH65-SEG-0145,NH65 Segment 145,way/106234143,NH65,21,17.4,34.6,17.2,Dhule,Dhule,8.54,91.46,91.3,91.41,Good
MA-NH160-SEG-0210,NH160 Segment 210,way/1214317783,NH160,210,136.7,153.6,16.9,Dhule,Dhule,8.56,91.44,91.33,91.41,Good
MA-NH160-SEG-0249,NH160 Segment 249,way/217635917,NH160,44,119.8,133.7,13.9,Dhule,Dhule,8.65,91.35,91.48,91.39,Good
MA-NH360-SEG-0015,NH360 Segment 15,way/304800602,NH360,15,30.8,36.4,5.6,Dhule,Sindkhede,8.66,91.34,91.36,91.35,Good
MA-NH60-SEG-0400,NH60 Segment 400,way/652398174,NH60,400,177.5,195.6,18.1,Nashik,Yeola,8.66,91.34,91.34,91.34,Good
MA-NH53-SEG-0989,NH53 Segment 989,way/1353145229,NH53,989,15.7,40.2,24.5,Solapur,Solapur South,8.66,91.34,91.33,91.34,Good
MA-NH753J-SEG-0061,NH753J Segment 61,way/298891516,NH753J,61,55.8,74.4,18.6,Solapur,Pandharpur,8.61,91.39,91.23,91.34,Good
MA-NH160-SEG-0372,NH160 Segment 372,way/1288651922,NH160,372,31.7,51.5,19.8,Dhule,Sindkhede,8.69,91.31,91.35,91.32,Good
MA-NH361-SEG-0084,NH361 Segment 84,way/825196128,NH361,84,106.7,124.0,17.3,Dhule,Sindkhede,8.67,91.33,91.23,91.3,Good
MA-NH361C-SEG-0026,NH361C Segment 26,way/1342039004,NH361C,26,13.4,26.2,12.8,Nagpur,Butibori,8.56,91.44,90.93,91.29,Good
MA-NH 61-SEG-0022,NH 61 Segment 22,way/1175820994,NH 61,22,53.0,62.2,9.2,Solapur,Mohol,8.63,91.37,91.09,91.29,Good
MA-NH65-SEG-0181,NH65 Segment 181,way/127056184,NH65,31,118.4,129.4,11.0,Dhule,Dhule,8.72,91.28,91.17,91.25,Good
MA-NH48-SEG-0265,NH48 Segment 265,way/28724485,NH48,41,94.4,101.1,6.7,Pune,Shirur,8.68,91.32,91.06,91.24,Good
MA-NH965-SEG-0383,NH965 Segment 383,way/1363279990,NH965,383,85.2,90.4,5.2,Solapur,Pandharpur,8.77,91.23,91.13,91.2,Good
MA-NH166-SEG-0070,NH166 Segment 70,way/426963948,NH166,70,141.4,166.1,24.7,Solapur,Mangalwedha,8.76,91.24,91.08,91.19,Good
MA-NH52-SEG-0711,NH52 Segment 711,way/1292553388,NH52,711,14.7,37.6,22.9,Solapur,Barshi,8.86,91.14,91.17,91.15,Good
MA-NH53-SEG-0295,NH53 Segment 295,way/503493076,NH53,295,134.9,152.3,17.4,Pune,Khed,8.97,91.03,91.35,91.13,Good
MA-NH161-SEG-0112,NH161 Segment 112,way/1041868528,NH161,112,4.2,17.3,13.1,Solapur,Pandharpur,8.93,91.07,91.07,91.07,Good
MA-NH48-SEG-1181,NH48 Segment 1181,way/1309532583,NH48,1181,112.2,132.4,20.2,Dhule,Sindkhede,8.89,91.11,90.95,91.06,Good
MA-NH753B-SEG-0073,NH753B Segment 73,way/886882763,NH753B,73,193.2,203.2,10.0,Dhule,Shirpur,8.92,91.08,91.02,91.06,Good
MA-NH60-SEG-0173,NH60 Segment 173,way/282484452,NH60,173,50.3,65.7,15.4,Dhule,Dhule,9.01,90.99,91.17,91.04,Good
MA-NH53-SEG-0714,NH53 Segment 714,way/1219552802,NH53,714,169.8,186.6,16.8,Dhule,Dhule,8.96,91.04,91.05,91.04,Good
MA-NH160-SEG-0223,NH160 Segment 223,way/1285155539,NH160,223,60.1,84.6,24.5,Kolhapur,Karveer,9.06,90.94,91.19,91.01,Good
MA-NH53-SEG-0722,NH53 Segment 722,way/1221930569,NH53,722,125.0,140.5,15.5,Solapur,Solapur North,8.99,91.01,91.02,91.01,Good
MA-NH361-SEG-0642,NH361 Segment 642,way/1353367192,NH361,642,0.8,21.2,20.4,Dhule,Shirpur,8.92,91.08,90.79,90.99,Good
MA-NH548B-SEG-0016,NH548B Segment 16,way/297792603,NH548B,16,121.5,140.6,19.1,Solapur,Karmala,8.97,91.03,90.89,90.99,Good
