inspection_id,road_id,inspection_date,inspector_agency,condition_score,surface_damage_pct,waterlogging_flag,drainage_status,remarks
INSP-0001-1,MA-RD-SEG-0001,2023-08-30,NHAI,66,1.8,FALSE,good,
INSP-0001-2,MA-RD-SEG-0001,2024-02-26,ThirdParty,61.5,34.3,TRUE,good,
INSP-0001-3,MA-RD-SEG-0001,2024-08-24,NHAI,54.9,28.2,TRUE,blocked,
INSP-0001-4,MA-RD-SEG-0001,2025-02-20,Municipality,58.4,6,FALSE,partial,
INSP-0001-5,MA-RD-SEG-0001,2025-08-19,State PWD,48.1,20.2,FALSE,blocked,
INSP-0002-1,MA-RD-SEG-0002,2023-08-30,State PWD,81,1.5,TRUE,partial,
INSP-0002-2,MA-RD-SEG-0002,2024-02-26,State PWD,75,19.8,FALSE,blocked,
INSP-0002-3,MA-RD-SEG-0002,2024-08-24,Municipality,66.3,37.6,FALSE,partial,
INSP-0002-4,MA-RD-SEG-0002,2025-02-20,State PWD,67.1,12.3,TRUE,blocked,
INSP-0002-5,MA-RD-SEG-0002,2025-08-19,NHAI,65.5,23.3,FALSE,blocked,
INSP-0003-1,MA-RD-SEG-0003,2023-08-30,State PWD,79,23.4,TRUE,good,
INSP-0003-2,MA-RD-SEG-0003,2024-02-26,ThirdParty,71.7,6.7,FALSE,none,
INSP-0003-3,MA-RD-SEG-0003,2024-08-24,State PWD,65.2,2.9,FALSE,blocked,
INSP-0003-4,MA-RD-SEG-0003,2025-02-20,NHAI,66,30.9,TRUE,partial,
INSP-0003-5,MA-RD-SEG-0003,2025-08-19,NHAI,62.5,29.3,FALSE,good,
INSP-0004-1,MA-RD-SEG-0004,2023-08-30,Municipality,70,33.8,TRUE,partial,
INSP-0004-2,MA-RD-SEG-0004,2024-02-26,Municipality,65.7,2,TRUE,blocked,
INSP-0004-3,MA-RD-SEG-0004,2024-08-24,NHAI,57.4,37.9,FALSE,good,
INSP-0004-4,MA-RD-SEG-0004,2025-02-20,State PWD,57.7,1.8,FALSE,blocked,
INSP-0004-5,MA-RD-SEG-0004,2025-08-19,NHAI,61.5,1.9,FALSE,none,
INSP-0005-1,MA-RD-SEG-0005,2023-08-30,ThirdParty,60,1.4,TRUE,blocked,
INSP-0005-2,MA-RD-SEG-0005,2024-02-26,NHAI,53.7,38.9,FALSE,blocked,
INSP-0005-3,MA-RD-SEG-0005,2024-08-24,State PWD,52.7,25.4,TRUE,blocked,
INSP-0005-4,MA-RD-SEG-0005,2025-02-20,ThirdParty,45.9,12.8,FALSE,good,
INSP-0005-5,MA-RD-SEG-0005,2025-08-19,State PWD,40.7,27.4,FALSE,good,
INSP-0006-1,MA-RD-SEG-0006,2023-08-30,State PWD,67,14.8,FALSE,good,
INSP-0006-2,MA-RD-SEG-0006,2024-02-26,State PWD,64.9,24.7,FALSE,none,
INSP-0006-3,MA-RD-SEG-0006,2024-08-24,Municipality,52.5,15.9,TRUE,blocked,
INSP-0006-4,MA-RD-SEG-0006,2025-02-20,ThirdParty,48.8,11.4,FALSE,partial,
INSP-0006-5,MA-RD-SEG-0006,2025-08-19,State PWD,46.7,25.6,TRUE,blocked,
INSP-0007-1,MA-RD-SEG-0007,2023-08-30,Municipality,73,6.3,FALSE,none,
INSP-0007-2,MA-RD-SEG-0007,2024-02-26,Municipality,66.3,34.6,FALSE,none,
INSP-0007-3,MA-RD-SEG-0007,2024-08-24,NHAI,58.1,28,FALSE,none,
INSP-0007-4,MA-RD-SEG-0007,2025-02-20,State PWD,65.5,15.9,FALSE,none,
INSP-0007-5,MA-RD-SEG-0007,2025-08-19,Municipality,60.7,18.8,FALSE,partial,
INSP-0008-1,MA-RD-SEG-0008,2023-08-30,NHAI,68,13.5,FALSE,none,
INSP-0008-2,MA-RD-SEG-0008,2024-02-26,ThirdParty,61.7,5.1,TRUE,none,
INSP-0008-3,MA-RD-SEG-0008,2024-08-24,NHAI,54.2,2.8,FALSE,blocked,
INSP-0008-4,MA-RD-SEG-0008,2025-02-20,NHAI,52.3,7.3,FALSE,blocked,
INSP-0008-5,MA-RD-SEG-0008,2025-08-19,Municipality,38,18.3,TRUE,partial,
INSP-0009-1,MA-RD-SEG-0009,2023-08-30,ThirdParty,77,23.6,FALSE,good,
INSP-0009-2,MA-RD-SEG-0009,2024-02-26,ThirdParty,72.6,1.4,FALSE,good,
INSP-0009-3,MA-RD-SEG-0009,2024-08-24,State PWD,62.8,20.5,TRUE,none,
INSP-0009-4,MA-RD-SEG-0009,2025-02-20,State PWD,61.3,4.9,FALSE,partial,
INSP-0009-5,MA-RD-SEG-0009,2025-08-19,ThirdParty,50.3,35.7,FALSE,partial,
INSP-0010-1,MA-RD-SEG-0010,2023-08-30,State PWD,72,22.7,FALSE,partial,
INSP-0010-2,MA-RD-SEG-0010,2024-02-26,Municipality,64.9,8.3,FALSE,blocked,
INSP-0010-3,MA-RD-SEG-0010,2024-08-24,State PWD,62.5,12.9,FALSE,partial,
INSP-0010-4,MA-RD-SEG-0010,2025-02-20,Municipality,58.2,20.8,FALSE,good,
INSP-0010-5,MA-RD-SEG-0010,2025-08-19,Municipality,54.2,4.8,FALSE,blocked,
INSP-0011-1,MA-RD-SEG-0011,2023-08-30,Municipality,62,29.7,TRUE,partial,
INSP-0011-2,MA-RD-SEG-0011,2024-02-26,NHAI,59.7,26.3,TRUE,blocked,
INSP-0011-3,MA-RD-SEG-0011,2024-08-24,State PWD,47,22,FALSE,partial,
INSP-0011-4,MA-RD-SEG-0011,2025-02-20,State PWD,55,32.8,FALSE,good,
INSP-0011-5,MA-RD-SEG-0011,2025-08-19,NHAI,41.6,28.8,FALSE,partial,
INSP-0012-1,MA-RD-SEG-0012,2023-08-30,State PWD,70,8.8,FALSE,none,
INSP-0012-2,MA-RD-SEG-0012,2024-02-26,State PWD,63.6,39.1,FALSE,blocked,
INSP-0012-3,MA-RD-SEG-0012,2024-08-24,ThirdParty,62.5,2,TRUE,none,
INSP-0012-4,MA-RD-SEG-0012,2025-02-20,Municipality,47,38.2,FALSE,none,
INSP-0012-5,MA-RD-SEG-0012,2025-08-19,State PWD,58.3,30.1,FALSE,blocked,
INSP-0013-1,MA-RD-SEG-0013,2023-08-30,ThirdParty,83,4.1,FALSE,blocked,
INSP-0013-2,MA-RD-SEG-0013,2024-02-26,NHAI,77.6,4.4,FALSE,partial,
INSP-0013-3,MA-RD-SEG-0013,2024-08-24,ThirdParty,73.6,26,FALSE,partial,
INSP-0013-4,MA-RD-SEG-0013,2025-02-20,ThirdParty,75.6,2.4,FALSE,blocked,
INSP-0013-5,MA-RD-SEG-0013,2025-08-19,Municipality,57.2,13.7,TRUE,good,
INSP-0014-1,MA-RD-SEG-0014,2023-08-30,ThirdParty,82,24.7,TRUE,blocked,
INSP-0014-2,MA-RD-SEG-0014,2024-02-26,ThirdParty,76.7,3.1,FALSE,good,
INSP-0014-3,MA-RD-SEG-0014,2024-08-24,State PWD,75.2,22.9,TRUE,blocked,
INSP-0014-4,MA-RD-SEG-0014,2025-02-20,NHAI,74.3,20.8,TRUE,good,
INSP-0014-5,MA-RD-SEG-0014,2025-08-19,ThirdParty,61.4,12.9,FALSE,blocked,
INSP-0015-1,MA-RD-SEG-0015,2023-08-30,ThirdParty,70,18.9,FALSE,good,
INSP-0015-2,MA-RD-SEG-0015,2024-02-26,NHAI,65.4,12.4,FALSE,partial,
INSP-0015-3,MA-RD-SEG-0015,2024-08-24,State PWD,59.3,8.2,FALSE,blocked,
INSP-0015-4,MA-RD-SEG-0015,2025-02-20,Municipality,59.2,1.6,TRUE,blocked,
INSP-0015-5,MA-RD-SEG-0015,2025-08-19,Municipality,38.6,29.1,FALSE,partial,
INSP-0016-1,MA-RD-SEG-0016,2023-08-30,State PWD,68,40,FALSE,blocked,
INSP-0016-2,MA-RD-SEG-0016,2024-02-26,NHAI,65.3,21.2,FALSE,blocked,
INSP-0016-3,MA-RD-SEG-0016,2024-08-24,ThirdParty,59.5,34.4,TRUE,good,
INSP-0016-4,MA-RD-SEG-0016,2025-02-20,State PWD,44.6,9.4,FALSE,none,
INSP-0016-5,MA-RD-SEG-0016,2025-08-19,State PWD,50.3,10.7,TRUE,blocked,
INSP-0017-1,MA-RD-SEG-0017,2023-08-30,State PWD,84,8.8,FALSE,none,
INSP-0017-2,MA-RD-SEG-0017,2024-02-26,State PWD,78.2,12.1,FALSE,partial,
INSP-0017-3,MA-RD-SEG-0017,2024-08-24,ThirdParty,69.6,7,FALSE,none,
INSP-0017-4,MA-RD-SEG-0017,2025-02-20,State PWD,73.7,14.1,TRUE,blocked,
INSP-0017-5,MA-RD-SEG-0017,2025-08-19,Municipality,71.1,20.2,FALSE,none,
INSP-0018-1,MA-RD-SEG-0018,2023-08-30,State PWD,81,14.8,FALSE,blocked,
INSP-0018-2,MA-RD-SEG-0018,2024-02-26,ThirdParty,77.6,8.7,FALSE,blocked,
INSP-0018-3,MA-RD-SEG-0018,2024-08-24,ThirdParty,75.9,38,FALSE,good,
INSP-0018-4,MA-RD-SEG-0018,2025-02-20,Municipality,72.2,5.4,TRUE,partial,
INSP-0018-5,MA-RD-SEG-0018,2025-08-19,State PWD,60,39.2,TRUE,blocked,
INSP-0019-1,MA-RD-SEG-0019,2023-08-30,Municipality,83,22.1,FALSE,none,
INSP-0019-2,MA-RD-SEG-0019,2024-02-26,NHAI,79.5,36.6,FALSE,partial,
INSP-0019-3,MA-RD-SEG-0019,2024-08-24,State PWD,74.7,10.7,TRUE,good,
INSP-0019-4,MA-RD-SEG-0019,2025-02-20,State PWD,62.3,13.8,TRUE,good,
INSP-0019-5,MA-RD-SEG-0019,2025-08-19,Municipality,53.5,33.4,TRUE,partial,
INSP-0020-1,MA-RD-SEG-0020,2023-08-30,NHAI,78,17.6,FALSE,partial,
INSP-0020-2,MA-RD-SEG-0020,2024-02-26,Municipality,75.6,23.8,TRUE,blocked,
INSP-0020-3,MA-RD-SEG-0020,2024-08-24,NHAI,63.7,19.5,TRUE,none,
INSP-0020-4,MA-RD-SEG-0020,2025-02-20,NHAI,69.4,22.9,FALSE,none,
INSP-0020-5,MA-RD-SEG-0020,2025-08-19,State PWD,66.9,11.9,FALSE,partial,
INSP-0021-1,MA-RD-SEG-0021,2023-08-30,State PWD,68,34.9,FALSE,good,
INSP-0021-2,MA-RD-SEG-0021,2024-02-26,Municipality,60,28.2,TRUE,partial,
INSP-0021-3,MA-RD-SEG-0021,2024-08-24,Municipality,59,7.9,FALSE,partial,
INSP-0021-4,MA-RD-SEG-0021,2025-02-20,Municipality,58.5,31.9,FALSE,blocked,
INSP-0021-5,MA-RD-SEG-0021,2025-08-19,Municipality,54.5,23.5,FALSE,none,
INSP-0022-1,MA-RD-SEG-0022,2023-08-30,ThirdParty,68,7.8,FALSE,partial,
INSP-0022-2,MA-RD-SEG-0022,2024-02-26,Municipality,61,25,FALSE,none,
